,Date,BTC_Price,BTC_Market_Cap,Gold_Price,IGREA,interest_rate,NASDAQ_Price,SP_500_Price,BTC_Volatility,BTC_7day_momentum,BTC_14day_momentum,BTC_30day_momentum,RSI_14,time_idx,id,day_of_week,month,quarter
0,2015-08-15,0.0006874776025365412,0.000510956352409807,0.04390676587985998,0.4536844191947152,0.018903591682419663,0.054336359862342365,0.06836716083478811,0.4112957759485403,0.2905103808104066,0.2004054453057243,0.19975378081845385,0.3395684532560235,0,BTC,5,8,3
1,2015-08-16,0.0006465728155430396,0.000457861897542352,0.04390676587985998,0.4536844191947152,0.018903591682419663,0.054336359862342365,0.06836716083478811,0.4112957759485403,0.2905103808104066,0.2004054453057243,0.19975378081845385,0.3395684532560235,1,BTC,6,8,3
2,2015-08-17,0.0006388748666992438,0.00044346066429531115,0.04640586831490112,0.4536844191947152,0.020793950850661626,0.05735918017385905,0.07120710768348926,0.4112957759485403,0.2905103808104066,0.2004054453057243,0.19975378081845385,0.3395684532560235,2,BTC,0,8,3
3,2015-08-18,2.4205315081025306e-05,0.00040532165789348203,0.04665225869582057,0.4536844191947152,0.020793950850661626,0.05510962330527008,0.06977410698001618,0.4112957759485403,0.2905103808104066,0.2004054453057243,0.19975378081845385,0.3395684532560235,3,BTC,1,8,3
4,2015-08-19,0.00021032827072673408,0.00033956401856791813,0.058232606599038395,0.4536844191947152,0.020793950850661626,0.05230723870545129,0.06526666840363715,0.4112957759485403,0.2905103808104066,0.2004054453057243,0.19975378081845385,0.3395684532560235,4,BTC,2,8,3
5,2015-08-20,0.00032961217322069903,0.00019306376707810225,0.07139689266531046,0.4536844191947152,0.020793950850661626,0.04246342818559151,0.053828717334097664,0.4112957759485403,0.2905103808104066,0.2004054453057243,0.19975378081845385,0.3395684532560235,5,BTC,3,8,3
6,2015-08-21,0.000293166982259699,0.0001972085656851857,0.0769512358237534,0.4536844191947152,0.020793950850661626,0.030541124472466707,0.03694536359136036,0.4112957759485403,0.2905103808104066,0.2004054453057243,0.19975378081845385,0.3395684532560235,6,BTC,4,8,3
7,2015-08-22,0.00026194981003218633,0.00015975604873407845,0.0769512358237534,0.4536844191947152,0.020793950850661626,0.030541124472466707,0.03694536359136036,0.4112957759485403,0.2905103808104066,0.2004054453057243,0.19975378081845385,0.3395684532560235,7,BTC,5,8,3
8,2015-08-23,0.0002331202369113051,0.00015413008606984325,0.0769512358237534,0.4536844191947152,0.020793950850661626,0.030541124472466707,0.03694536359136036,0.4114302623875025,0.2921563820971268,0.2004054453057243,0.19975378081845385,0.3395684532560235,8,BTC,6,8,3
9,2015-08-24,0.0,5.962498879779699e-05,0.07272740072227579,0.4536844191947152,0.020793950850661626,0.018038873177146142,0.01670097183502256,0.42741891370371654,0.2404788365948312,0.2004054453057243,0.19975378081845385,0.3395684532560235,9,BTC,0,8,3
10,2015-08-25,0.00014108789663441236,0.0,0.06259019647872954,0.4536844191947152,0.020793950850661626,0.0166648007282027,0.01003100492431147,0.2515875991520704,0.4186562855081953,0.2004054453057243,0.19975378081845385,0.3395684532560235,10,BTC,1,8,3
11,2015-08-26,0.0001979100110054595,0.0001237730492288057,0.051960211473344065,0.4536844191947152,0.018903591682419663,0.029950050797566963,0.029024777884890995,0.21552740587146202,0.38313263576042317,0.2004054453057243,0.19975378081845385,0.3395684532560235,11,BTC,2,8,3
12,2015-08-27,0.00018062050023329819,0.00012306673625461393,0.0520728470760502,0.4536844191947152,0.018903591682419663,0.03795875140206151,0.04132252937651448,0.19515328836628285,0.34908117603748867,0.2004054453057243,0.19975378081845385,0.3395684532560235,12,BTC,3,8,3
13,2015-08-28,0.00027557559114072287,0.00013988207625183213,0.057880620340581945,0.4536844191947152,0.018903591682419663,0.03904424082149499,0.04163518407545408,0.2083574881317029,0.3819072281299973,0.2004054453057243,0.19975378081845385,0.3395684532560235,13,BTC,4,8,3
14,2015-08-29,0.00025248174460933614,0.00016480632910045043,0.057880620340581945,0.4536844191947152,0.018903591682419663,0.03904424082149499,0.04163518407545408,0.2078482096481275,0.3839392226191374,0.2004054453057243,0.19975378081845385,0.33401390786341745,14,BTC,5,8,3
15,2015-08-30,0.00023443753297013644,0.0001504160765776288,0.057880620340581945,0.4536844191947152,0.018903591682419663,0.03904424082149499,0.04163518407545408,0.2072110474707926,0.3866985426281304,0.20337642439817158,0.19975378081845385,0.33951154941988626,15,BTC,6,8,3
16,2015-08-31,0.00025777837251255396,0.00015588610142819185,0.05826076549971493,0.4536844191947152,0.007561436672967864,0.0354414729277826,0.03728407284854485,0.10633916935597877,0.4581835820365305,0.20839009522131102,0.19975378081845385,0.3508930413229302,16,BTC,0,8,3
17,2015-09-01,0.00022849597887144918,0.0001511028870192356,0.06221005131959645,0.3882751928776257,0.018903591682419663,0.02567763119923283,0.022068210833485313,0.07287811129758122,0.40958368167610654,0.3128931364057111,0.19975378081845385,0.578382023118243,17,BTC,1,9,3
18,2015-09-02,0.0002447289084297564,0.00014736430511354,0.057943977867104035,0.3882751928776257,0.018903591682419663,0.03359662768130134,0.031213360777468058,0.06542315073881833,0.3985707572309139,0.27828443757500193,0.19975378081845385,0.4955369923410522,18,BTC,2,9,3
19,2015-09-03,0.0002149250850986971,0.000142027946294844,0.051749019718270284,0.3882751928776257,0.018903591682419663,0.032450640132789865,0.03178656105885724,0.06783013947681861,0.39535680843054216,0.25087357911433666,0.19975378081845385,0.3970509010573171,19,BTC,3,9,3
