Date,LTC_Price,LTC_Volume
2019-08-01,99.17972564697266,2953184689
2019-08-02,94.94129180908203,2882784454
2019-08-03,94.58087921142578,2512959054
2019-08-04,93.20378112792969,2427608117
2019-08-05,96.83464813232422,4134352823
2019-08-06,93.06971740722656,3245339849
2019-08-07,90.91259765625,3105989436
2019-08-08,90.03160858154297,3034717882
2019-08-09,84.43937683105469,3003278177
2019-08-10,85.41947937011719,3088060147
2019-08-11,89.75267028808594,3025787942
2019-08-12,85.74922943115234,2716187719
2019-08-13,84.40614318847656,2681787838
2019-08-14,76.06498718261719,3093090406
2019-08-15,76.38897705078125,3654075558
2019-08-16,74.92015075683594,3016089036
2019-08-17,72.79772186279297,2482385549
2019-08-18,76.26995086669922,2743241606
2019-08-19,77.26319122314453,2346796021
2019-08-20,75.19656372070312,2430165429
2019-08-21,72.96495056152344,2878567011
2019-08-22,73.59859466552734,2908864703
2019-08-23,75.40281677246094,2496513401
2019-08-24,73.46361541748047,2191973575
2019-08-25,72.30814361572266,2227400267
2019-08-26,73.857177734375,3046136697
2019-08-27,72.83622741699219,2489689274
2019-08-28,67.42554473876953,2883041616
2019-08-29,64.09805297851562,3092332444
2019-08-30,64.33297729492188,2377466438
2019-08-31,64.5760498046875,2283340831
2019-09-01,66.14472198486328,2228146663
2019-09-02,66.94495391845703,2400017919
2019-09-03,69.12925720214844,2816706430
2019-09-04,67.28562927246094,2696779274
2019-09-05,65.39556884765625,2379080140
2019-09-06,65.22820281982422,2595201216
2019-09-07,69.03871154785156,2763572250
2019-09-08,70.54936981201172,2776939870
2019-09-09,70.1922378540039,2654086135
2019-09-10,70.82339477539062,2893715133
2019-09-11,69.9221420288086,2569282757
2019-09-12,69.2250747680664,2316445209
2019-09-13,68.98861694335938,2368931048
2019-09-14,70.56230163574219,2439744085
2019-09-15,70.31517791748047,2330572400
2019-09-16,72.57311248779297,2652253522
2019-09-17,74.22122955322266,3104946341
2019-09-18,77.96913146972656,3665577129
2019-09-19,77.05962371826172,3778427056
2019-09-20,75.14909362792969,3148504140
2019-09-21,73.51652526855469,2572614027
2019-09-22,72.61611938476562,2494428147
2019-09-23,66.85189056396484,3215899051
2019-09-24,55.823638916015625,3919809840
2019-09-25,57.65800857543945,3360298410
2019-09-26,55.540618896484375,2663433163
2019-09-27,56.36084747314453,2324084589
2019-09-28,55.682247161865234,1975938676
2019-09-29,54.31954574584961,1825233237
2019-09-30,56.056907653808594,2241248501
2019-10-01,56.058074951171875,2325767310
2019-10-02,56.50892639160156,2113331224
2019-10-03,56.54681396484375,2221643896
2019-10-04,56.85321044921875,2292624175
2019-10-05,56.8438720703125,2063875681
2019-10-06,55.41156768798828,2381501439
2019-10-07,57.788299560546875,2891486029
2019-10-08,57.39858627319336,2417116506
2019-10-09,59.43086624145508,2790624239
2019-10-10,57.776084899902344,2440262585
2019-10-11,56.29697036743164,2441054545
2019-10-12,55.98286819458008,2098404880
2019-10-13,56.71399688720703,2235957909
2019-10-14,56.97540283203125,2243495397
2019-10-15,54.94420623779297,2602960066
2019-10-16,52.9231071472168,2978803244
2019-10-17,54.88447570800781,2925315824
2019-10-18,53.49169158935547,2683486531
2019-10-19,54.03457260131836,2453091268
2019-10-20,54.93437957763672,2612273453
2019-10-21,54.938297271728516,2727253951
2019-10-22,53.744361877441406,2490194232
2019-10-23,49.62795639038086,3077488277
2019-10-24,50.067665100097656,2650862714
2019-10-25,56.93901062011719,3770902916
2019-10-26,56.77525329589844,5234627157
2019-10-27,59.91399002075195,4218140032
2019-10-28,58.12683868408203,3793848576
2019-10-29,59.869625091552734,3582210705
2019-10-30,58.42097091674805,3387114095
2019-10-31,58.78068542480469,3165801278
2019-11-01,58.58364486694336,3425154368
2019-11-02,58.59702682495117,3353942166
2019-11-03,58.62519073486328,3259935586
2019-11-04,61.573055267333984,4164854559
2019-11-05,63.302764892578125,4725921529
2019-11-06,64.26874542236328,3755244863
2019-11-07,61.843223571777344,3557191963
2019-11-08,60.5299186706543,3414910991
2019-11-09,61.9547119140625,2849228741
2019-11-10,63.84146499633789,3611586094
2019-11-11,61.89910888671875,3033016472
2019-11-12,61.34029769897461,3333604208
2019-11-13,61.11134719848633,3094050321
2019-11-14,59.429893493652344,3040274519
2019-11-15,57.811710357666016,3195878562
2019-11-16,58.56543731689453,2841793395
2019-11-17,59.57322692871094,3215100478
2019-11-18,56.80094909667969,3131873188
2019-11-19,55.623985290527344,3030389859
2019-11-20,55.290924072265625,2858714058
2019-11-21,50.883052825927734,3158748317
2019-11-22,47.615535736083984,3734545939
2019-11-23,48.70648956298828,2746902870
2019-11-24,44.73422622680664,2709705879
2019-11-25,45.83033752441406,3408224795
2019-11-26,47.27334213256836,2659405400
2019-11-27,48.00880432128906,2979663352
2019-11-28,47.056949615478516,2662459127
2019-11-29,48.87915802001953,2944492393
2019-11-30,47.47542953491211,2678481167
2019-12-01,47.7111701965332,2781413686
2019-12-02,45.8170166015625,2680452035
2019-12-03,45.3816032409668,2557212174
2019-12-04,45.19295120239258,2951880019
2019-12-05,45.301639556884766,2818768679
2019-12-06,45.67012023925781,2585078804
2019-12-07,45.6404914855957,2380335463
2019-12-08,45.952945709228516,2266427857
2019-12-09,44.93924331665039,2473452708
2019-12-10,44.64424133300781,2349745528
2019-12-11,43.94569778442383,2507211954
2019-12-12,44.08216857910156,2740797932
2019-12-13,44.45058059692383,2766557274
2019-12-14,43.72218704223633,2721787991
2019-12-15,43.75682830810547,2668105124
2019-12-16,40.37425994873047,3046141449
2019-12-17,37.08342742919922,3283924746
