Date,Dollar_Index
2015-01-09,91.94000244140624
2015-01-10,91.94000244140624
2015-01-11,91.94000244140624
2015-01-12,91.9800033569336
2015-01-13,92.30999755859376
2015-01-14,92.16000366210938
2015-01-15,92.3499984741211
2015-01-16,92.5199966430664
2015-01-17,92.5199966430664
2015-01-18,92.5199966430664
2015-01-19,92.5199966430664
2015-01-20,93.0500030517578
2015-01-21,92.9000015258789
2015-01-22,94.23999786376952
2015-01-23,95.0
2015-01-24,95.0
2015-01-25,95.0
2015-01-26,94.8000030517578
2015-01-27,94.0199966430664
2015-01-28,94.47000122070312
2015-01-29,94.77999877929688
2015-01-30,94.8000030517578
2015-01-31,94.8000030517578
2015-02-01,94.8000030517578
2015-02-02,94.5
2015-02-03,93.5999984741211
2015-02-04,93.98999786376952
2015-02-05,94.6999969482422
2015-02-06,94.6999969482422
2015-02-07,94.6999969482422
2015-02-08,94.6999969482422
2015-02-09,94.4499969482422
2015-02-10,94.76000213623048
2015-02-11,94.98999786376952
2015-02-12,94.08999633789062
2015-02-13,94.1999969482422
2015-02-14,94.1999969482422
2015-02-15,94.1999969482422
2015-02-16,94.1999969482422
2015-02-17,94.05999755859376
2015-02-18,94.1999969482422
2015-02-19,94.4000015258789
2015-02-20,94.25
2015-02-21,94.25
2015-02-22,94.25
2015-02-23,94.56999969482422
2015-02-24,94.48999786376952
2015-02-25,94.20999908447266
2015-02-26,95.29000091552734
2015-02-27,95.25
2015-02-28,95.25
2015-03-01,95.25
2015-03-02,95.45999908447266
2015-03-03,95.37999725341795
2015-03-04,95.97000122070312
2015-03-05,96.37999725341795
2015-03-06,97.62000274658205
2015-03-07,97.62000274658205
2015-03-08,97.62000274658205
2015-03-09,97.58999633789062
2015-03-10,98.62000274658205
2015-03-11,99.8000030517578
2015-03-12,99.1500015258789
2015-03-13,100.33000183105467
2015-03-14,100.33000183105467
2015-03-15,100.33000183105467
2015-03-16,99.5999984741211
2015-03-17,99.58999633789062
2015-03-18,98.5500030517578
2015-03-19,99.0999984741211
2015-03-20,97.91000366210938
2015-03-21,97.91000366210938
2015-03-22,97.91000366210938
2015-03-23,97.02999877929688
2015-03-24,97.19000244140624
2015-03-25,96.9800033569336
2015-03-26,97.44000244140624
2015-03-27,97.29000091552734
2015-03-28,97.29000091552734
2015-03-29,97.29000091552734
2015-03-30,97.9800033569336
2015-03-31,98.36000061035156
2015-04-01,98.19000244140624
2015-04-02,97.44000244140624
2015-04-03,97.44000244140624
2015-04-04,97.44000244140624
2015-04-05,97.44000244140624
2015-04-06,97.11000061035156
2015-04-07,97.83000183105467
2015-04-08,98.06999969482422
2015-04-09,99.16000366210938
2015-04-10,99.38999938964844
2015-04-11,99.38999938964844
2015-04-12,99.38999938964844
2015-04-13,99.48999786376952
2015-04-14,98.76000213623048
2015-04-15,98.33000183105467
2015-04-16,97.41999816894533
2015-04-17,97.5199966430664
2015-04-18,97.5199966430664
2015-04-19,97.5199966430664
2015-04-20,97.94000244140624
2015-04-21,97.9800033569336
2015-04-22,98.0199966430664
2015-04-23,97.27999877929688
2015-04-24,96.91999816894533
2015-04-25,96.91999816894533
2015-04-26,96.91999816894533
2015-04-27,96.7699966430664
2015-04-28,96.08999633789062
2015-04-29,95.12000274658205
2015-04-30,94.5999984741211
2015-05-01,95.3000030517578
2015-05-02,95.3000030517578
2015-05-03,95.3000030517578
2015-05-04,95.4800033569336
2015-05-05,95.12999725341795
2015-05-06,94.12999725341795
2015-05-07,94.62000274658205
2015-05-08,94.79000091552734
2015-05-09,94.79000091552734
2015-05-10,94.79000091552734
2015-05-11,95.01000213623048
2015-05-12,94.52999877929688
2015-05-13,93.62000274658205
2015-05-14,93.36000061035156
2015-05-15,93.13999938964844
2015-05-16,93.13999938964844
2015-05-17,93.13999938964844
2015-05-18,94.19000244140624
2015-05-19,95.2699966430664
2015-05-20,95.4499969482422
2015-05-21,95.26000213623048
